🗺️  Re-sharding OSM planet
📊 0.0% | Buckets: 81387 | Nodes: 0M
📊 0.5% | Buckets: 90241 | Nodes: 12M
📊 0.9% | Buckets: 90241 | Nodes: 27M
📊 1.4% | Buckets: 90241 | Nodes: 43M
📊 1.8% | Buckets: 90241 | Nodes: 60M
📊 2.3% | Buckets: 90241 | Nodes: 72M
📊 2.8% | Buckets: 90241 | Nodes: 83M
📊 3.2% | Buckets: 90241 | Nodes: 96M
📊 3.7% | Buckets: 90241 | Nodes: 115M
📊 4.1% | Buckets: 90241 | Nodes: 135M
📊 4.6% | Buckets: 90241 | Nodes: 156M
📊 5.1% | Buckets: 90241 | Nodes: 178M
📊 5.5% | Buckets: 90241 | Nodes: 193M
📊 6.0% | Buckets: 90241 | Nodes: 209M
📊 6.4% | Buckets: 90241 | Nodes: 225M
📊 6.9% | Buckets: 90241 | Nodes: 240M
📊 7.4% | Buckets: 90241 | Nodes: 255M
📊 7.8% | Buckets: 90241 | Nodes: 269M
📊 8.3% | Buckets: 90241 | Nodes: 281M
📊 8.7% | Buckets: 90241 | Nodes: 294M
📊 9.2% | Buckets: 90241 | Nodes: 308M
📊 9.6% | Buckets: 90241 | Nodes: 322M
📊 10.1% | Buckets: 90241 | Nodes: 337M
📊 10.6% | Buckets: 90241 | Nodes: 353M
📊 11.0% | Buckets: 90241 | Nodes: 372M
